username,userID,location,followers,retweeted_og,tweetcreatedts,text,hashtags
mycigara,2182047146,"Sheffield, England",1567,none,2022-04-21 11:01:16+00:00,"
The fundamental purpose of VApril is to inform as many people as possible about the detrimental health effects of smoking, and why switching to vaping can be a life-transforming decision.

Get this deal today: https://t.co/laTJmK7DpC

#vapril #awareness #quitsmoking #vaping #uk https://t.co/mkQv8kJT68","[{'text': 'vapril', 'indices': [235, 242]}, {'text': 'awareness', 'indices': [243, 253]}, {'text': 'quitsmoking', 'indices': [254, 266]}, {'text': 'vaping', 'indices': [267, 274]}, {'text': 'uk', 'indices': [275, 278]}]"
OneYouMerton,738354971612205056,"Merton, London",628,none,2022-04-21 11:00:01+00:00,"
It’s never too late to quit smoking! You will notice immediate improvements to your health when you stop. Contact us for local support in #Merton to #stopsmoking Visit: https://t.co/8JNaUC6E35 #GetSupport #QuitSmoking @Merton_Council @HealthyMerton @nhsmerton_ @HWMerton https://t.co/pT9w4CgeKj","[{'text': 'Merton', 'indices': [138, 145]}, {'text': 'stopsmoking', 'indices': [149, 161]}, {'text': 'GetSupport', 'indices': [193, 204]}, {'text': 'QuitSmoking', 'indices': [205, 217]}]"
shubhamsharrr,1134086237487112192,,12,none,2022-04-21 10:59:11+00:00,"
So i am gon quit smoking from today..it’s gon be hard but it’s all about making the right choice. #quitsmoking","[{'text': 'quitsmoking', 'indices': [98, 110]}]"
healthy_moral,1510929469724364806,,0,none,2022-04-21 10:37:13+00:00,"
Is Nicotine Gum An Effective Method To Quit Smoking?
When trying to stop smoking, you may experience withdrawal symptoms. Nicotine gum may reduce these symptoms. Also nicotine gum is safer to use than tobacco.
https://t.co/pVb3KgsVNF

#thursdaymorning #nicotinegum #quitsmoking https://t.co/1yM2rjnIDZ","[{'text': 'thursdaymorning', 'indices': [235, 251]}, {'text': 'nicotinegum', 'indices': [252, 264]}, {'text': 'quitsmoking', 'indices': [265, 277]}]"
PreventiveBot,1375244479049895941,,755,NhmBikaner,2022-04-21 10:27:04+00:00,"
RT @NhmBikaner: How looks Arteries of Smokers ? Bidi hazardous to Artery #QuitSmoking
#तम्बाकू_मुक्त_राजस्थान
#तम्बाकू_मुक्त_बीकानेर

https…","[{'text': 'QuitSmoking', 'indices': [73, 85]}, {'text': 'तम्बाकू_मुक्त_राजस्थान', 'indices': [86, 109]}, {'text': 'तम्बाकू_मुक्त_बीकानेर', 'indices': [110, 132]}]"
NhmBikaner,4838512291,Bikaner,4121,none,2022-04-21 10:20:12+00:00,"
How looks Arteries of Smokers ? Bidi hazardous to Artery #QuitSmoking
#तम्बाकू_मुक्त_राजस्थान
#तम्बाकू_मुक्त_बीकानेर

https://t.co/TzFLWhhDzY via @YouTube","[{'text': 'QuitSmoking', 'indices': [57, 69]}, {'text': 'तम्बाकू_मुक्त_राजस्थान', 'indices': [70, 93]}, {'text': 'तम्बाकू_मुक्त_बीकानेर', 'indices': [94, 116]}]"
PreventiveBot,1375244479049895941,,755,HwcfrK,2022-04-21 09:41:50+00:00,"
RT @HwcfrK: Not bad so far 😊#quitsmoking https://t.co/CYM0c8aiQq","[{'text': 'quitsmoking', 'indices': [28, 40]}]"
HwcfrK,1492888617391464449,"Hereford, England",35,none,2022-04-21 09:36:11+00:00,"
Not bad so far 😊#quitsmoking https://t.co/CYM0c8aiQq","[{'text': 'quitsmoking', 'indices': [16, 28]}]"
PreventiveBot,1375244479049895941,,755,PaulRaiderGuy,2022-04-21 09:27:12+00:00,"
RT @PaulRaiderGuy: 17 Days Smoke Free 😊 #quitsmoking #smokefree","[{'text': 'quitsmoking', 'indices': [40, 52]}, {'text': 'smokefree', 'indices': [53, 63]}]"
PaulRaiderGuy,2477793666,"Brisbane, Queensland",619,none,2022-04-21 09:22:54+00:00,"
17 Days Smoke Free 😊 #quitsmoking #smokefree","[{'text': 'quitsmoking', 'indices': [21, 33]}, {'text': 'smokefree', 'indices': [34, 44]}]"
HealthyMerton,3397034116,London Borough of Merton,940,OneYouMerton,2022-04-21 09:21:22+00:00,"
RT @OneYouMerton: Find a combination of quit-smoking tools and local support that’s right for you to quit this New Year. Find out about lot…",[]
PierremontPhar1,1190237715603828738,,53,none,2022-04-21 08:58:22+00:00,"
It's never too late to #JoinTheQuitters.

Contact us for #StopSmoking advice, products and support.

Every day is a good day to #QuitSmoking.

Let us help you start the journey to #NoSmoking today. https://t.co/wNAi1SpyIK","[{'text': 'JoinTheQuitters', 'indices': [23, 39]}, {'text': 'StopSmoking', 'indices': [57, 69]}, {'text': 'QuitSmoking', 'indices': [128, 140]}, {'text': 'NoSmoking', 'indices': [180, 190]}]"
PreventiveBot,1375244479049895941,,755,AGHypnosis,2022-04-21 08:57:22+00:00,"
RT @AGHypnosis: Yes, you can.
.
.
https://t.co/RwcY8Znlfw
 #Weightloss #YouCanQuit #WeightManagement #StopSmoking #QuitSmoking #GastricBand…","[{'text': 'Weightloss', 'indices': [59, 70]}, {'text': 'YouCanQuit', 'indices': [71, 82]}, {'text': 'WeightManagement', 'indices': [83, 100]}, {'text': 'StopSmoking', 'indices': [101, 113]}, {'text': 'QuitSmoking', 'indices': [114, 126]}]"
PreventiveBot,1375244479049895941,,755,markllockwood,2022-04-21 08:57:05+00:00,"
RT @markllockwood: Quit Smoking with the reverse behaviour chain https://t.co/hoUsKjO1Oz via @YouTube #quitsmoking #smokefree","[{'text': 'quitsmoking', 'indices': [102, 114]}, {'text': 'smokefree', 'indices': [115, 125]}]"
AGHypnosis,135545932,"Belfast, Northern Ireland",308,none,2022-04-21 08:56:21+00:00,"
Yes, you can.
.
.
https://t.co/RwcY8Znlfw
 #Weightloss #YouCanQuit #WeightManagement #StopSmoking #QuitSmoking #GastricBandHypnotherapy #Hypnotherapy #HypnosisWorks #NorthernIreland #Belfast #Cookstown #Ballymena #Omagh #Coleraine https://t.co/EEnyjws2PU","[{'text': 'Weightloss', 'indices': [43, 54]}, {'text': 'YouCanQuit', 'indices': [55, 66]}, {'text': 'WeightManagement', 'indices': [67, 84]}, {'text': 'StopSmoking', 'indices': [85, 97]}, {'text': 'QuitSmoking', 'indices': [98, 110]}, {'text': 'GastricBandHypnotherapy', 'indices': [111, 135]}, {'text': 'Hypnotherapy', 'indices': [136, 149]}, {'text': 'HypnosisWorks', 'indices': [150, 164]}, {'text': 'NorthernIreland', 'indices': [165, 181]}, {'text': 'Belfast', 'indices': [182, 190]}, {'text': 'Cookstown', 'indices': [191, 201]}, {'text': 'Ballymena', 'indices': [202, 212]}, {'text': 'Omagh', 'indices': [213, 219]}, {'text': 'Coleraine', 'indices': [220, 230]}]"
markllockwood,774114212498907136,South Africa,929,none,2022-04-21 08:49:35+00:00,"
Quit Smoking with the reverse behaviour chain https://t.co/hoUsKjO1Oz via @YouTube #quitsmoking #smokefree","[{'text': 'quitsmoking', 'indices': [83, 95]}, {'text': 'smokefree', 'indices': [96, 106]}]"
PreventiveBot,1375244479049895941,,755,officialfusenbg,2022-04-21 08:42:37+00:00,"
RT @officialfusenbg: 🅿️

QUITTING SMOKING, DAY 50‼️🚭

🅿️

#NOSMOKING #QUITSMOKING #HEALTHISWEALTH #BETTERINGYOURSELF #STAYINGFOCUSED #ONTHE…","[{'text': 'NOSMOKING', 'indices': [58, 68]}, {'text': 'QUITSMOKING', 'indices': [69, 81]}, {'text': 'HEALTHISWEALTH', 'indices': [82, 97]}, {'text': 'BETTERINGYOURSELF', 'indices': [98, 116]}, {'text': 'STAYINGFOCUSED', 'indices': [117, 132]}]"
PreventiveBot,1375244479049895941,,755,officialfusenbg,2022-04-21 08:42:19+00:00,"
RT @officialfusenbg: QUITTING SMOKING, DAY 50‼️🚭

🅿️

#NOSMOKING #QUITSMOKING #HEALTHISWEALTH #BETTERINGYOURSELF #STAYINGFOCUSED #ONTHERIGH…","[{'text': 'NOSMOKING', 'indices': [54, 64]}, {'text': 'QUITSMOKING', 'indices': [65, 77]}, {'text': 'HEALTHISWEALTH', 'indices': [78, 93]}, {'text': 'BETTERINGYOURSELF', 'indices': [94, 112]}, {'text': 'STAYINGFOCUSED', 'indices': [113, 128]}]"
officialfusenbg,1377037118946607106,"London, England",467,none,2022-04-21 08:38:54+00:00,"
🅿️

QUITTING SMOKING, DAY 50‼️🚭

🅿️

#NOSMOKING #QUITSMOKING #HEALTHISWEALTH #BETTERINGYOURSELF #STAYINGFOCUSED #ONTHERIGHTPATH @ Unique One https://t.co/7CD7YJG0KZ","[{'text': 'NOSMOKING', 'indices': [37, 47]}, {'text': 'QUITSMOKING', 'indices': [48, 60]}, {'text': 'HEALTHISWEALTH', 'indices': [61, 76]}, {'text': 'BETTERINGYOURSELF', 'indices': [77, 95]}, {'text': 'STAYINGFOCUSED', 'indices': [96, 111]}, {'text': 'ONTHERIGHTPATH', 'indices': [112, 127]}]"
officialfusenbg,1377037118946607106,"London, England",467,none,2022-04-21 08:36:17+00:00,"
QUITTING SMOKING, DAY 50‼️🚭

🅿️

#NOSMOKING #QUITSMOKING #HEALTHISWEALTH #BETTERINGYOURSELF #STAYINGFOCUSED #ONTHERIGHTPATH","[{'text': 'NOSMOKING', 'indices': [33, 43]}, {'text': 'QUITSMOKING', 'indices': [44, 56]}, {'text': 'HEALTHISWEALTH', 'indices': [57, 72]}, {'text': 'BETTERINGYOURSELF', 'indices': [73, 91]}, {'text': 'STAYINGFOCUSED', 'indices': [92, 107]}, {'text': 'ONTHERIGHTPATH', 'indices': [108, 123]}]"
Sairahss,295662450,,839,PVapes,2022-04-21 07:41:10+00:00,"
RT @PVapes: A new study looking at how vaping helps pregnant smokers quit and remain smoke-free has been published

https://t.co/pd75AxIWWF…",[]
Jdunne9407uk,787735609,"London, England",2257,PVapes,2022-04-21 07:35:11+00:00,"
RT @PVapes: A new study looking at how vaping helps pregnant smokers quit and remain smoke-free has been published

https://t.co/pd75AxIWWF…",[]
GoTirtha,1186921612198596608,Rishikesh Uttrakhand,136,GoTirtha,2022-04-21 04:43:33+00:00,"
RT @GoTirtha: !!! GET FREE CONSULTATION NOW !!!
aYURVEDIC tREATMENT for Health related Problems

CALL US / WHATSAPP
+91 7217591662
+91 9411…",[]
