username,location,followers,retweeted_og,tweetcreatedts,text,hashtags
IndiaTHR,India,74,CochraneTAG,2022-04-21 09:46:00+00:00,"
RT @CochraneTAG: Can #mindfulness help people to #stopsmoking? Check out our latest review! https://t.co/c442pIH9c1 https://t.co/vonitqv4AZ","[{'text': 'mindfulness', 'indices': [21, 33]}, {'text': 'stopsmoking', 'indices': [49, 61]}]"
NHSShane,"Blackpool, England",221,NHSQuitTobacco,2022-04-21 09:31:08+00:00,"
RT @NHSQuitTobacco: When you #stopsmoking the benefits arrive in minutes and continue for years. Within two weeks, your circulation and lun…","[{'text': 'stopsmoking', 'indices': [29, 41]}]"
PierremontPhar1,,53,none,2022-04-21 08:58:22+00:00,"
It's never too late to #JoinTheQuitters.

Contact us for #StopSmoking advice, products and support.

Every day is a good day to #QuitSmoking.

Let us help you start the journey to #NoSmoking today. https://t.co/wNAi1SpyIK","[{'text': 'JoinTheQuitters', 'indices': [23, 39]}, {'text': 'StopSmoking', 'indices': [57, 69]}, {'text': 'QuitSmoking', 'indices': [128, 140]}, {'text': 'NoSmoking', 'indices': [180, 190]}]"
PreventiveBot,,754,AGHypnosis,2022-04-21 08:57:22+00:00,"
RT @AGHypnosis: Yes, you can.
.
.
https://t.co/RwcY8Znlfw
 #Weightloss #YouCanQuit #WeightManagement #StopSmoking #QuitSmoking #GastricBand…","[{'text': 'Weightloss', 'indices': [59, 70]}, {'text': 'YouCanQuit', 'indices': [71, 82]}, {'text': 'WeightManagement', 'indices': [83, 100]}, {'text': 'StopSmoking', 'indices': [101, 113]}, {'text': 'QuitSmoking', 'indices': [114, 126]}]"
AGHypnosis,"Belfast, Northern Ireland",308,none,2022-04-21 08:56:21+00:00,"
Yes, you can.
.
.
https://t.co/RwcY8Znlfw
 #Weightloss #YouCanQuit #WeightManagement #StopSmoking #QuitSmoking #GastricBandHypnotherapy #Hypnotherapy #HypnosisWorks #NorthernIreland #Belfast #Cookstown #Ballymena #Omagh #Coleraine https://t.co/EEnyjws2PU","[{'text': 'Weightloss', 'indices': [43, 54]}, {'text': 'YouCanQuit', 'indices': [55, 66]}, {'text': 'WeightManagement', 'indices': [67, 84]}, {'text': 'StopSmoking', 'indices': [85, 97]}, {'text': 'QuitSmoking', 'indices': [98, 110]}, {'text': 'GastricBandHypnotherapy', 'indices': [111, 135]}, {'text': 'Hypnotherapy', 'indices': [136, 149]}, {'text': 'HypnosisWorks', 'indices': [150, 164]}, {'text': 'NorthernIreland', 'indices': [165, 181]}, {'text': 'Belfast', 'indices': [182, 190]}, {'text': 'Cookstown', 'indices': [191, 201]}, {'text': 'Ballymena', 'indices': [202, 212]}, {'text': 'Omagh', 'indices': [213, 219]}, {'text': 'Coleraine', 'indices': [220, 230]}]"
PreventiveBot,,754,SSA_Addiction,2022-04-21 08:12:31+00:00,"
RT @SSA_Addiction: Check @CochraneTAG latest review that looks at whether #mindfulness helps people to #stopsmoking? https://t.co/1rnEH0Boz…","[{'text': 'mindfulness', 'indices': [74, 86]}, {'text': 'stopsmoking', 'indices': [103, 115]}]"
SSA_Addiction,UK,7859,none,2022-04-21 08:10:00+00:00,"
Check @CochraneTAG latest review that looks at whether #mindfulness helps people to #stopsmoking? https://t.co/1rnEH0BozW https://t.co/O0mQBpSr2b","[{'text': 'mindfulness', 'indices': [55, 67]}, {'text': 'stopsmoking', 'indices': [84, 96]}]"
magsedmondson,Lancashire,404,none,2022-04-21 07:57:30+00:00,"
Catch up with @DanQuitSquad today 🚙

Find out more about how we can support you to #stopsmoking 🚭

Why not make your Smokefree Promise too 👍

Please RT @WestLancsCCG @Westlancsbc @well_skem https://t.co/qLYln4JVMD","[{'text': 'stopsmoking', 'indices': [83, 95]}]"
PreventiveBot,,754,NHSQuitTobacco,2022-04-21 07:57:20+00:00,"
RT @NHSQuitTobacco: When you #stopsmoking the benefits arrive in minutes and continue for years. Within two weeks, your circulation and lun…","[{'text': 'stopsmoking', 'indices': [29, 41]}]"
NHSQuitTobacco,"Blackpool, England",117,none,2022-04-21 07:54:42+00:00,"
When you #stopsmoking the benefits arrive in minutes and continue for years. Within two weeks, your circulation and lung function are already improving, giving you more energy. 

Get up to 12 weeks NHS support in #Blackpool. Call free 0808 196 4324 https://t.co/9zRGpl27jP","[{'text': 'stopsmoking', 'indices': [9, 21]}, {'text': 'Blackpool', 'indices': [213, 223]}]"
PreventiveBot,,754,Vaping_Industry,2022-04-21 07:42:16+00:00,"
RT @Vaping_Industry: A new study looking at how vaping helps pregnant smokers quit and remain smoke-free has been published in the U.K. #va…",[]
IrelandNna,Ireland,512,Vaping_Industry,2022-04-21 07:41:38+00:00,"
RT @Vaping_Industry: A new study looking at how vaping helps pregnant smokers quit and remain smoke-free has been published in the U.K. #va…",[]
Vaping_Industry,"London, England",3098,none,2022-04-21 07:40:51+00:00,"
A new study looking at how vaping helps pregnant smokers quit and remain smoke-free has been published in the U.K. #vapril #maketheswitch #vaping #stopsmoking  https://t.co/MmuHj8dS4G","[{'text': 'vapril', 'indices': [115, 122]}, {'text': 'maketheswitch', 'indices': [123, 137]}, {'text': 'vaping', 'indices': [138, 145]}, {'text': 'stopsmoking', 'indices': [146, 158]}]"
daya72443636,,24,drmssm,2022-04-21 07:07:33+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
DINESHMULA,,24,drmssm,2022-04-21 07:04:38+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
RedbridgeEh,Redbridge,35,none,2022-04-21 07:00:01+00:00,"
Like cigarette smoke, waterpipe smoke contains cancer-causing chemicals and toxic gases such as carbon monoxide.
 #stopsmokingnow #illford #ramadan2022 #redbridge #stopsmoking #Smokefree #healthylife https://t.co/gfJjBUEHqD","[{'text': 'stopsmokingnow', 'indices': [114, 129]}, {'text': 'illford', 'indices': [130, 138]}, {'text': 'ramadan2022', 'indices': [139, 151]}, {'text': 'redbridge', 'indices': [152, 162]}, {'text': 'stopsmoking', 'indices': [163, 175]}, {'text': 'Smokefree', 'indices': [176, 186]}, {'text': 'healthylife', 'indices': [187, 199]}]"
PreventiveBot,,754,GoGo_Blix,2022-04-21 06:27:25+00:00,"
RT @GoGo_Blix: Today I have muscle soreness from exercise. But it is day 8 that I stopped smoking.  Time has gone by super fast and I am op…",[]
PreventiveBot,,754,yesimorhun,2022-04-21 06:27:16+00:00,"
RT @yesimorhun: April is a month of many birthdays in the family. A recent one was my late uncle’s birthday. He died in pain. Had relentles…",[]
GoGo_Blix,,195,none,2022-04-21 06:19:49+00:00,"
Today I have muscle soreness from exercise. But it is day 8 that I stopped smoking.  Time has gone by super fast and I am optimistic that I will continue on this path. 😬Have a nice day everyone #nft #stopsmoking","[{'text': 'nft', 'indices': [194, 198]}, {'text': 'stopsmoking', 'indices': [199, 211]}]"
yesimorhun,"Ann Arbor, MI",1789,none,2022-04-21 06:18:35+00:00,"
April is a month of many birthdays in the family. A recent one was my late uncle’s birthday. He died in pain. Had relentless hope of being cured of lung cancer, clinging to life and his children he did not want to let go of so early in life. I miss him. 

#StopSmoking","[{'text': 'StopSmoking', 'indices': [256, 268]}]"
